yr,sp,ev,trt,type,blk,sam,%pred
1,W,3,CP,w,3,2,96
1,W,3,CP,w,3,3,18
1,W,3,CP,w,4,1,2
1,W,3,CP,w,4,2,10
1,W,3,CP,w,4,3,4
1,W,3,MP,s,1,1,20
1,W,3,MP,s,1,2,4
1,W,3,MP,s,1,3,2
1,W,3,MP,s,2,1,8
1,W,3,MP,s,2,2,4
1,W,3,MP,s,2,3,10
1,W,3,MP,s,3,1,22
1,W,3,MP,s,3,2,2
1,W,3,MP,s,3,3,34
1,W,3,MP,s,4,1,2
1,W,3,MP,s,4,2,6
1,W,3,MP,s,4,3,6
1,W,3,MP,w,1,1,4
1,W,3,MP,w,1,2,8
1,W,3,MP,w,1,3,6
1,W,3,MP,w,2,1,84
1,W,3,MP,w,2,2,8
1,W,3,MP,w,2,3,10
1,W,3,MP,w,3,1,16
1,W,3,MP,w,3,2,68
1,W,3,MP,w,3,3,26
1,W,3,MP,w,4,1,14
1,W,3,MP,w,4,2,2
1,W,3,MP,w,4,3,32
1,W,3,NT,s,1,1,4
1,W,3,NT,s,1,2,14
1,W,3,NT,s,1,3,10
1,W,3,NT,s,2,1,0
1,W,3,NT,s,2,2,0
1,W,3,NT,s,2,3,2
1,W,3,NT,s,3,1,2
1,W,3,NT,s,3,2,2
1,W,3,NT,s,3,3,12
1,W,3,NT,s,4,1,8
1,W,3,NT,s,4,2,0
1,W,3,NT,s,4,3,16
1,W,3,NT,w,1,1,32
1,W,3,NT,w,1,2,12
1,W,3,NT,w,1,3,16
1,W,3,NT,w,2,1,88
1,W,3,NT,w,2,2,0
1,W,3,NT,w,2,3,40
1,W,3,NT,w,3,1,4
1,W,3,NT,w,3,2,2
1,W,3,NT,w,3,3,6
1,W,3,NT,w,4,1,2
1,W,3,NT,w,4,2,18
1,W,3,NT,w,4,3,10
1,W,4,CP,s,1,1,0
1,W,4,CP,s,1,2,10
1,W,4,CP,s,1,3,6
1,W,4,CP,s,2,1,6
1,W,4,CP,s,2,2,2
1,W,4,CP,s,2,3,4
1,W,4,CP,s,3,1,0
1,W,4,CP,s,3,2,8
1,W,4,CP,s,3,3,6
1,W,4,CP,s,4,1,0
1,W,4,CP,s,4,2,4
1,W,4,CP,s,4,3,2
1,W,4,CP,w,1,1,62
1,W,4,CP,w,1,2,74
1,W,4,CP,w,1,3,92
1,W,4,CP,w,2,1,30
1,W,4,CP,w,2,2,8
1,W,4,CP,w,2,3,0
1,W,4,CP,w,3,1,74
1,W,4,CP,w,3,2,22
1,W,4,CP,w,3,3,98
1,W,4,CP,w,4,1,48
1,W,4,CP,w,4,2,88
1,W,4,CP,w,4,3,94
1,W,4,MP,s,1,1,0
1,W,4,MP,s,1,2,4
1,W,4,MP,s,1,3,0
1,W,4,MP,s,2,1,4
1,W,4,MP,s,2,2,6
1,W,4,MP,s,2,3,2
1,W,4,MP,s,3,1,2
1,W,4,MP,s,3,2,0
1,W,4,MP,s,3,3,4
1,W,4,MP,s,4,1,6
1,W,4,MP,s,4,2,0
1,W,4,MP,s,4,3,0
1,W,4,MP,w,1,1,86
1,W,4,MP,w,1,2,30
1,W,4,MP,w,1,3,10
1,W,4,MP,w,2,1,44
1,W,4,MP,w,2,2,76
1,W,4,MP,w,2,3,6
1,W,4,MP,w,3,1,58
1,W,4,MP,w,3,2,52
1,W,4,MP,w,3,3,80
1,W,4,MP,w,4,1,98
1,W,4,MP,w,4,2,90
1,W,4,MP,w,4,3,48
1,W,4,NT,s,1,1,2
1,W,4,NT,s,1,2,0
1,W,4,NT,s,1,3,2
1,W,4,NT,s,2,1,0
1,W,4,NT,s,2,2,2
1,W,4,NT,s,2,3,4
1,W,4,NT,s,3,1,0
1,W,4,NT,s,3,2,0
1,W,4,NT,s,3,3,2
1,W,4,NT,s,4,1,2
1,W,4,NT,s,4,2,0
1,W,4,NT,s,4,3,4
1,W,4,NT,w,1,1,60
1,W,4,NT,w,1,2,16
1,W,4,NT,w,1,3,4
1,W,4,NT,w,2,1,38
1,W,4,NT,w,2,2,52
1,W,4,NT,w,2,3,28
1,W,4,NT,w,3,1,0
1,W,4,NT,w,3,2,16
