0.096,0.033,0.207,0.115,0.233,0.036,0.069,0.048,0.127,0.5,0.086,0.053,0.109,0,0,0,0,0,0
0.048,0.111,0.057,0.103,0.07,0.119,0.069,0.048,0.018,0.06,0.037,0.053,0.018,0,0,0,0,0,0
0.157,0.1,0.069,0.023,0.128,0.095,0.086,0.024,0.036,0,0,0.053,0.018,0,0,0,0,0,0
0.157,0.1,0.057,0.057,0.07,0.131,0.121,0.072,0.018,0,0,0.035,0.018,0,0,0,0,0,0
0.108,0.111,0.092,0.069,0.035,0.155,0.034,0.012,0.109,0.04,0,0,0.036,0,0,0,0,0,0
0.096,0.133,0.126,0.057,0.105,0.06,0.138,0.133,0.109,0.04,0.012,0.018,0.073,0,0,0,0,0,0
0.108,0.111,0.011,0.149,0.035,0.083,0.103,0.108,0.091,0.02,0.025,0,0.018,0,0,0,0,0,0
0.096,0.089,0.069,0.092,0.081,0.071,0.121,0.241,0.018,0,0,0.035,0.055,0,0,0,0,0,0
0.024,0.056,0.046,0.115,0.07,0.083,0.103,0.084,0.164,0.04,0,0.018,0.018,0,0,0,0,0,0
0.024,0,0.034,0.08,0.07,0.036,0.086,0.12,0.164,0.06,0.111,0.123,0.018,0.028,0,0,0,0,0
0.048,0.078,0.092,0.057,0.058,0.06,0.034,0.048,0.127,0.08,0.543,0.14,0.018,0.028,0,0,0,0,0
0.012,0,0.057,0.034,0.035,0.036,0.034,0.048,0,0.1,0.062,0.404,0.127,0.028,0,0,0,0,0
0.012,0.033,0.08,0.011,0,0.024,0,0.012,0.018,0.02,0.086,0.035,0.473,0.194,0,0.011,0,0,0
0.012,0.022,0,0.011,0,0.012,0,0,0,0.04,0.037,0.035,0,0.722,0.034,0,0,0,0
0,0.022,0,0.023,0.012,0,0,0,0,0,0,0,0,0,0.966,0.034,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
