0.215,0.239,0.195,0.187,0.096,0.106,0.148,0,0,0,0,0,0,0,0,0,0,0,0
0.196,0.137,0.195,0.159,0.096,0.073,0.262,0.008,0.018,0,0,0,0,0,0,0,0,0,0
0.187,0.188,0.241,0.131,0.135,0.049,0.098,0.023,0.035,0.02,0,0,0,0,0,0,0,0,0
0.121,0.137,0.08,0.252,0.106,0.065,0.115,0.031,0.018,0.041,0,0,0,0,0,0,0,0,0
0.103,0.085,0.138,0.084,0.144,0.114,0.148,0.031,0.07,0.041,0,0,0,0,0,0,0,0,0
0.065,0.145,0.103,0.056,0.183,0.276,0.033,0.078,0.158,0.163,0.008,0,0,0,0,0,0,0,0
0.093,0.06,0.034,0.093,0.125,0.171,0.115,0.109,0.123,0.082,0,0,0,0,0,0,0,0,0
0.019,0.009,0.011,0.037,0.087,0.081,0.066,0.609,0.246,0.367,0,0.017,0,0,0,0,0,0,0
0,0,0,0,0.029,0.049,0.016,0.094,0.263,0.184,0.091,0.033,0,0,0,0,0,0,0
0,0,0,0,0,0.016,0,0.016,0.07,0.082,0.106,0.05,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.02,0.78,0.217,0.017,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.015,0.683,0.017,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.966,0.167,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
